name	geneset	paragraph	references
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	3. CREBBP (CREB Binding Protein) and EP300 (E1A Binding Protein p300) - CREBBP and EP300 are histone acetyltransferases that function as transcriptional coactivators. They play a role in the regulation of cell growth, differentiation, and apoptosis by modulating the activity of various transcription factors, including TP53. Acetylation of TP53 by CREBBP/EP300 enhances its DNA binding and transcriptional activity, leading to the activation of target genes such as CDKN1A.[10][11][12]	"[11] Akil, Abdellah, Ezzikouri, Sayeh, El Feydi, Abdellah Essaid, Benazzouz, Mustapha, Afifi, Rajaa, Diagne, Ama Gassama, Benjouad, Aziz, Dejean, Anne, Pineau, Pascal, Benjelloun, Soumaya. ""Associations of genetic variants in the transcriptional coactivators EP300 and PCAF with hepatocellular carcinoma."" Cancer epidemiology, 2012, pp. e300-5."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	3. CREBBP (CREB Binding Protein) and EP300 (E1A Binding Protein p300) - CREBBP and EP300 are histone acetyltransferases that function as transcriptional coactivators. They play a role in the regulation of cell growth, differentiation, and apoptosis by modulating the activity of various transcription factors, including TP53. Acetylation of TP53 by CREBBP/EP300 enhances its DNA binding and transcriptional activity, leading to the activation of target genes such as CDKN1A.[10][11][12]	"[12] Saleh, Kochar Khasro, Kirbag, Sevda, Dalkılıç, Semih. ""Inhibitory Effects of Terfezia (Ascomycota) Desert Truffles on PANC-1 Cell Growth via Upregulation of Proapoptotic Genes TP53, CDKN1A, and BAX and Downregulation of Antiapoptotic Gene BCL2."" International journal of medicinal mushrooms, 2022, pp. 61-70."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	4. RBL1 (Retinoblastoma-Like 1) - RBL1, also known as p107, is a member of the retinoblastoma (RB) family of proteins that regulate cell cycle progression. RBL1 interacts with E2F transcription factors and represses their activity, leading to cell cycle arrest in the G1 phase. RBL1 is functionally similar to the retinoblastoma protein (RB1) and can compensate for its loss in certain contexts. The activity of RBL1 is regulated by cyclin-CDK complexes, which are in turn regulated by CDKN1A.[13][14][15]	"[13] Knudsen, Erik S, Pruitt, Steven C, Hershberger, Pamela A, Witkiewicz, Agnieszka K, Goodrich, David W. ""Cell Cycle and Beyond: Exploiting New RB1 Controlled Mechanisms for Cancer Therapy."" Trends in cancer, 2019, pp. 308-324."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	4. RBL1 (Retinoblastoma-Like 1) - RBL1, also known as p107, is a member of the retinoblastoma (RB) family of proteins that regulate cell cycle progression. RBL1 interacts with E2F transcription factors and represses their activity, leading to cell cycle arrest in the G1 phase. RBL1 is functionally similar to the retinoblastoma protein (RB1) and can compensate for its loss in certain contexts. The activity of RBL1 is regulated by cyclin-CDK complexes, which are in turn regulated by CDKN1A.[13][14][15]	"[14] Azimi, Fatemeh, Naseripour, Masood, Sedaghat, Ahad, Kachoei, Zohre Ataei, Khakpoor, Golnaz. ""Association of RB1 rs9568036 and CDKN1A rs1801270 Polymorphisms with Retinoblastoma Susceptibility."" Journal of current ophthalmology, 2022, pp. 328-332."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	4. RBL1 (Retinoblastoma-Like 1) - RBL1, also known as p107, is a member of the retinoblastoma (RB) family of proteins that regulate cell cycle progression. RBL1 interacts with E2F transcription factors and represses their activity, leading to cell cycle arrest in the G1 phase. RBL1 is functionally similar to the retinoblastoma protein (RB1) and can compensate for its loss in certain contexts. The activity of RBL1 is regulated by cyclin-CDK complexes, which are in turn regulated by CDKN1A.[13][14][15]	"[15] Naert, Thomas, Colpaert, Robin, Van Nieuwenhuysen, Tom, Dimitrakopoulou, Dionysia, Leoen, Jannick, Haustraete, Jurgen, Boel, Annekatrien, Steyaert, Wouter, Lepez, Trees, Deforce, Dieter, Willaert, Andy, Creytens, David, Vleminckx, Kris. ""CRISPR/Cas9 mediated knockout of rb1 and rbl1 leads to rapid and penetrant retinoblastoma development in Xenopus tropicalis."" Scientific reports, 2016, pp. 35264."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	In summary, this system of interacting proteins is involved in the regulation of the cell cycle, with a focus on controlling cell cycle progression and maintaining genomic stability. The most prominent biological process performed by this system is cell cycle regulation, which is mediated by the interplay between CDKN1A, TP53, CREBBP/EP300, and RBL1.[16][17][18]	"[16] Schultz-Rogers, Laura E, Thayer, Michelle L, Kambakam, Sekhar, Wierson, Wesley A, Helmer, Jordan A, Wishman, Mark D, Wall, Kristen A, Greig, Jessica L, Forsman, Jaimie L, Puchhalapalli, Kavya, Nair, Siddharth, Weiss, Trevor J, Luiken, Jon M, Blackburn, Patrick R, Ekker, Stephen C, Kool, Marcel, McGrail, Maura. ""Rbbp4 loss disrupts neural progenitor cell cycle regulation independent of Rb and leads to Tp53 acetylation and apoptosis."" Developmental dynamics : an official publication of the American Association of Anatomists, 2022, pp. 1267-1290."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	In summary, this system of interacting proteins is involved in the regulation of the cell cycle, with a focus on controlling cell cycle progression and maintaining genomic stability. The most prominent biological process performed by this system is cell cycle regulation, which is mediated by the interplay between CDKN1A, TP53, CREBBP/EP300, and RBL1.[16][17][18]	"[17] Andersson, Natalie, Saba, Karim H, Magnusson, Linda, Nilsson, Jenny, Karlsson, Jenny, Nord, Karolin H, Gisselsson, David. ""Inactivation of RB1, CDKN2A, and TP53 have distinct effects on genomic stability at side-by-side comparison in karyotypically normal cells."" Genes, chromosomes & cancer, 2023, pp. 93-100."
p53 regulation of cell cycle	CDKN1A,CREBBP,EP300,RBL1,TP53	In summary, this system of interacting proteins is involved in the regulation of the cell cycle, with a focus on controlling cell cycle progression and maintaining genomic stability. The most prominent biological process performed by this system is cell cycle regulation, which is mediated by the interplay between CDKN1A, TP53, CREBBP/EP300, and RBL1.[16][17][18]	"[18] Engeland, Kurt. ""Cell cycle regulation: p53-p21-RB signaling."" Cell death and differentiation, 2022, pp. 946-960."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	The primary biological process performed by this system of interacting proteins is the phosphatidylinositol 3-kinase (PI3K)/AKT signaling pathway. This pathway is crucial for regulating cell survival, growth, and proliferation.[1][2][3]	"[1] Brunet, A, Bonni, A, Zigmond, M J, Lin, M Z, Juo, P, Hu, L S, Anderson, M J, Arden, K C, Blenis, J, Greenberg, M E. ""Akt promotes cell survival by phosphorylating and inhibiting a Forkhead transcription factor."" Cell, 1999, pp. 857-68."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	The primary biological process performed by this system of interacting proteins is the phosphatidylinositol 3-kinase (PI3K)/AKT signaling pathway. This pathway is crucial for regulating cell survival, growth, and proliferation.[1][2][3]	"[2] Nie, Xin, Liu, Dawo, Zheng, Mingjun, Li, Xiao, Liu, Ouxuan, Guo, Qian, Zhu, Liancheng, Lin, Bei. ""HERPUD1 promotes ovarian cancer cell survival by sustaining autophagy and inhibit apoptosis via PI3K/AKT/mTOR and p38 MAPK signaling pathways."" BMC cancer, 2022, pp. 1338."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	The primary biological process performed by this system of interacting proteins is the phosphatidylinositol 3-kinase (PI3K)/AKT signaling pathway. This pathway is crucial for regulating cell survival, growth, and proliferation.[1][2][3]	"[3] Gao, Haoji, Wang, Weige, Li, Qinyu. ""GANT61 suppresses cell survival, invasion and epithelial-mesenchymal transition through inactivating AKT/mTOR and JAK/STAT3 pathways in anaplastic thyroid carcinoma."" Cancer biology & therapy, 2022, pp. 369-377."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	1. EGF and EGFR interaction: EGF (epidermal growth factor) is a ligand that binds to its receptor, EGFR (epidermal growth factor receptor), activating the receptor's intrinsic kinase activity. This activation initiates a signaling cascade, including the PI3K/AKT pathway.[4][5][6]	"[4] Guardiola, Salvador, Díaz-Lobo, Mireia, Seco, Jesús, García, Jesús, Nevola, Laura, Giralt, Ernest. ""Peptides Targeting EGF Block the EGF-EGFR Interaction."" Chembiochem : a European journal of chemical biology, 2016, pp. 702-11."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	1. EGF and EGFR interaction: EGF (epidermal growth factor) is a ligand that binds to its receptor, EGFR (epidermal growth factor receptor), activating the receptor's intrinsic kinase activity. This activation initiates a signaling cascade, including the PI3K/AKT pathway.[4][5][6]	"[5] Björkelund, Hanna, Gedda, Lars, Malmqvist, Magnus, Andersson, Karl. ""Resolving the EGF-EGFR interaction characteristics through a multiple-temperature, multiple-inhibitor, real-time interaction analysis approach."" Molecular and clinical oncology, 2013, pp. 343-352."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	1. EGF and EGFR interaction: EGF (epidermal growth factor) is a ligand that binds to its receptor, EGFR (epidermal growth factor receptor), activating the receptor's intrinsic kinase activity. This activation initiates a signaling cascade, including the PI3K/AKT pathway.[4][5][6]	"[6] Yu, Chenxu, Hale, Jacob, Ritchie, Kenneth, Prasad, Nagendra K, Irudayaraj, Joseph. ""Receptor overexpression or inhibition alters cell surface dynamics of EGF-EGFR interaction: new insights from real-time single molecule analysis."" Biochemical and biophysical research communications, 2009, pp. 376-82."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	2. Activation of AKT1: The PI3K enzyme, activated by EGFR, generates phosphatidylinositol (3,4,5)-trisphosphate (PIP3) from phosphatidylinositol (4,5)-bisphosphate (PIP2). PIP3 recruits AKT1 (a serine/threonine kinase) to the plasma membrane, where it is phosphorylated and activated.[7][8][9]	"[7] Eke, Iris, Koch, Ulrike, Hehlgans, Stephanie, Sandfort, Veit, Stanchi, Fabio, Zips, Daniel, Baumann, Michael, Shevchenko, Anna, Pilarsky, Christian, Haase, Michael, Baretton, Gustavo B, Calleja, Véronique, Larijani, Banafshé, Fässler, Reinhard, Cordes, Nils. ""PINCH1 regulates Akt1 activation and enhances radioresistance by inhibiting PP1alpha."" The Journal of clinical investigation, 2010, pp. 2516-27."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	2. Activation of AKT1: The PI3K enzyme, activated by EGFR, generates phosphatidylinositol (3,4,5)-trisphosphate (PIP3) from phosphatidylinositol (4,5)-bisphosphate (PIP2). PIP3 recruits AKT1 (a serine/threonine kinase) to the plasma membrane, where it is phosphorylated and activated.[7][8][9]	"[8] Lu, Xiaoqing, An, Liwei, Fan, Guangjian, Zang, Lijuan, Huang, Weiyi, Li, Junjian, Liu, Jun, Ge, Weiyu, Huang, Yuwei, Xu, Jingxuan, Du, Shaoqian, Cao, Yuan, Zhou, Tianhao, Yin, Huijing, Yu, Li, Jiao, Shi, Wang, Hongxia. ""EGFR signaling promotes nuclear translocation of plasma membrane protein TSPAN8 to enhance tumor progression via STAT3-mediated transcription."" Cell research, 2022, pp. 359-374."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	2. Activation of AKT1: The PI3K enzyme, activated by EGFR, generates phosphatidylinositol (3,4,5)-trisphosphate (PIP3) from phosphatidylinositol (4,5)-bisphosphate (PIP2). PIP3 recruits AKT1 (a serine/threonine kinase) to the plasma membrane, where it is phosphorylated and activated.[7][8][9]	"[9] Kim, Do-Hyeon, Triet, Hong Minh, Ryu, Sung Ho. ""Regulation of EGFR activation and signaling by lipids on the plasma membrane."" Progress in lipid research, 2021, pp. 101115."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	3. PTEN's role as a negative regulator: PTEN (phosphatase and tensin homolog) is a tumor suppressor that acts as a negative regulator of the PI3K/AKT pathway. It dephosphorylates PIP3 back to PIP2, reducing AKT1 activation and dampening the signaling cascade.[10][11][12]	"[10] Chen, Chien-Yu, Chen, Jingyu, He, Lina, Stiles, Bangyan L. ""PTEN: Tumor Suppressor and Metabolic Regulator."" Frontiers in endocrinology, 2018, pp. 338."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	3. PTEN's role as a negative regulator: PTEN (phosphatase and tensin homolog) is a tumor suppressor that acts as a negative regulator of the PI3K/AKT pathway. It dephosphorylates PIP3 back to PIP2, reducing AKT1 activation and dampening the signaling cascade.[10][11][12]	"[11] Huang, Xingjun, Liu, Guihua, Guo, Jiao, Su, Zhengquan. ""The PI3K/AKT pathway in obesity and type 2 diabetes."" International journal of biological sciences, 2018, pp. 1483-1496."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	3. PTEN's role as a negative regulator: PTEN (phosphatase and tensin homolog) is a tumor suppressor that acts as a negative regulator of the PI3K/AKT pathway. It dephosphorylates PIP3 back to PIP2, reducing AKT1 activation and dampening the signaling cascade.[10][11][12]	"[12] Kma, Lakhan, Baruah, Taranga Jyoti. ""The interplay of ROS and the PI3K/Akt pathway in autophagy regulation."" Biotechnology and applied biochemistry, 2022, pp. 248-264."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	4. CTNNB1 and Wnt signaling: CTNNB1 (beta-catenin) is a multifunctional protein involved in cell adhesion and the Wnt signaling pathway. While not directly involved in the PI3K/AKT pathway, CTNNB1 can interact with AKT1, which can phosphorylate and stabilize CTNNB1, promoting its nuclear translocation and transcriptional activity.[13][14][15]	"[13] Sehgal, Priyanka, Lanauze, Claudia, Wang, Xin, Hayer, Katharina E, Torres-Diz, Manuel, Leu, N Adrian, Sela, Yogev, Stanger, Ben Z, Lengner, Christopher J, Thomas-Tikhonenko, Andrei. ""MYC Hyperactivates Wnt Signaling in <i>APC</i>/<i>CTNNB1</i>-Mutated Colorectal Cancer Cells through miR-92a-Dependent Repression of <i>DKK3</i>."" Molecular cancer research : MCR, 2021, pp. 2003-2014."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	4. CTNNB1 and Wnt signaling: CTNNB1 (beta-catenin) is a multifunctional protein involved in cell adhesion and the Wnt signaling pathway. While not directly involved in the PI3K/AKT pathway, CTNNB1 can interact with AKT1, which can phosphorylate and stabilize CTNNB1, promoting its nuclear translocation and transcriptional activity.[13][14][15]	"[14] Huang, Qian, Wang, Chao-Cai, Liu, Yun-Guang, Zhao, Chang-Ming, Zhang, Tian-Ping, Liu, Yan, Wang, Hua. ""Clinical relevance of genetic polymorphisms in WNT signaling pathway (<i>SFRP1</i>, <i>WNT3A</i>, <i>CTNNB1, WIF-1</i>, <i>DKK-1</i>, <i>LRP5</i>, <i>LRP6</i>) on pulmonary tuberculosis in a Chinese population."" Frontiers in immunology, 2022, pp. 1011700."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	4. CTNNB1 and Wnt signaling: CTNNB1 (beta-catenin) is a multifunctional protein involved in cell adhesion and the Wnt signaling pathway. While not directly involved in the PI3K/AKT pathway, CTNNB1 can interact with AKT1, which can phosphorylate and stabilize CTNNB1, promoting its nuclear translocation and transcriptional activity.[13][14][15]	"[15] Basson, M D, Zeng, B, Wang, S. ""The C-terminal region of the focal adhesion kinase F1 domain binds Akt1 and inhibits pressure-induced cell adhesion."" Journal of physiology and pharmacology : an official journal of the Polish Physiological Society, 2017, pp. 375-383."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	5. NF2 and the Hippo pathway: NF2 (neurofibromin 2) is a tumor suppressor protein that regulates the Hippo signaling pathway, controlling organ size and cell proliferation. NF2 can interact with AKT1, and its loss can lead to increased AKT1 activation, promoting cell survival and growth.[16][17][18]	"[16] Hong, Audrey W, Meng, Zhipeng, Plouffe, Steven W, Lin, Zhijie, Zhang, Mingjie, Guan, Kun-Liang. ""Critical roles of phosphoinositides and NF2 in Hippo pathway regulation."" Genes & development, 2020, pp. 511-525."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	5. NF2 and the Hippo pathway: NF2 (neurofibromin 2) is a tumor suppressor protein that regulates the Hippo signaling pathway, controlling organ size and cell proliferation. NF2 can interact with AKT1, and its loss can lead to increased AKT1 activation, promoting cell survival and growth.[16][17][18]	"[17] Reginensi, Antoine, Enderle, Leonie, Gregorieff, Alex, Johnson, Randy L, Wrana, Jeffrey L, McNeill, Helen. ""A critical role for NF2 and the Hippo pathway in branching morphogenesis."" Nature communications, 2016, pp. 12309."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	5. NF2 and the Hippo pathway: NF2 (neurofibromin 2) is a tumor suppressor protein that regulates the Hippo signaling pathway, controlling organ size and cell proliferation. NF2 can interact with AKT1, and its loss can lead to increased AKT1 activation, promoting cell survival and growth.[16][17][18]	"[18] Shi, Xianle, Yin, Zixi, Ling, Bin, Wang, Lingling, Liu, Chang, Ruan, Xianhui, Zhang, Weiyu, Chen, Lingyi. ""Rho differentially regulates the Hippo pathway by modulating the interaction between Amot and Nf2 in the blastocyst."" Development (Cambridge, England), 2017, pp. 3957-3967."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	In conclusion, the most prominent biological process performed by this system of interacting proteins is the PI3K/AKT signaling pathway, which is crucial for cell survival, growth, and proliferation. The proteins EGF, EGFR, AKT1, PTEN, CTNNB1, and NF2 play essential roles in regulating this pathway and its crosstalk with other signaling pathways, such as Wnt and Hippo.[19][20][21]	"[19] Xu, Zhaoxia, Jia, Keqi, Wang, Hui, Gao, Feng, Zhao, Song, Li, Fan, Hao, Jun. ""METTL14-regulated PI3K/Akt signaling pathway via PTEN affects HDAC5-mediated epithelial-mesenchymal transition of renal tubular cells in diabetic kidney disease."" Cell death & disease, 2021, pp. 32."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	In conclusion, the most prominent biological process performed by this system of interacting proteins is the PI3K/AKT signaling pathway, which is crucial for cell survival, growth, and proliferation. The proteins EGF, EGFR, AKT1, PTEN, CTNNB1, and NF2 play essential roles in regulating this pathway and its crosstalk with other signaling pathways, such as Wnt and Hippo.[19][20][21]	"[20] Liu, Bu-Hui, Tu, Yue, Ni, Guang-Xia, Yan, Jin, Yue, Liang, Li, Zi-Lin, Wu, Jing-Jing, Cao, Yu-Ting, Wan, Zi-Yue, Sun, Wei, Wan, Yi-Gang. ""Total Flavones of <i>Abelmoschus manihot</i> Ameliorates Podocyte Pyroptosis and Injury in High Glucose Conditions by Targeting METTL3-Dependent m<sup>6</sup>A Modification-Mediated NLRP3-Inflammasome Activation and PTEN/PI3K/Akt Signaling."" Frontiers in pharmacology, 2021, pp. 667644."
Neg Regulation EGFR	AKT1,CTNNB1,EGF,EGFR,NF2,PTEN	In conclusion, the most prominent biological process performed by this system of interacting proteins is the PI3K/AKT signaling pathway, which is crucial for cell survival, growth, and proliferation. The proteins EGF, EGFR, AKT1, PTEN, CTNNB1, and NF2 play essential roles in regulating this pathway and its crosstalk with other signaling pathways, such as Wnt and Hippo.[19][20][21]	"[21] Chai, Chang, Song, Lai-Jun, Han, Shuang-Yin, Li, Xi-Qing, Li, Ming. ""MicroRNA-21 promotes glioma cell proliferation and inhibits senescence and apoptosis by targeting SPRY1 via the PTEN/PI3K/AKT signaling pathway."" CNS neuroscience & therapeutics, 2018, pp. 369-380."
